指标,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
城镇单位就业人员(万人),,1025.8,987.3,1013.5,1054.5,1060.9,1083.4,1102.7,1071.6,1070.1,995.7,883.6,813.9,741.2,,,,456.6,,
农林牧渔业城镇单位就业人员(万人),,0.6,0.5,0.4,0.5,0.4,0.5,0.6,0.8,0.8,1.5,1.4,1.5,1.6,,,,,,
采矿业城镇单位就业人员(万人),,0.5,0.4,0.4,0.5,0.6,0.7,0.9,1,1.4,1.6,1.7,1.7,1.6,,,,,,
制造业城镇单位就业人员(万人),,309.4,286.8,289.3,315,315.9,330.6,350.6,357.9,372.5,376.7,351.7,333.1,319.2,,,,,,
电力、热力、燃气及水生产和供应业城镇单位就业人员(万人),,13,11.1,12.2,12.3,12,11,13.4,13.5,13.3,13.9,12.6,12.5,12.2,,,,,,
建筑业城镇单位就业人员(万人),,198,212.4,279.9,288.3,310.1,323.4,329.5,303.2,294.1,236.7,180.2,155.8,121.7,,,,,,
交通运输、仓储和邮政业城镇单位就业人员(万人),,35.2,31.2,30.1,31.8,31.5,32,32.7,31.4,29.4,27.4,25.2,23.9,22.1,,,,,,
信息传输、软件和信息技术服务业城镇单位就业人员(万人),,28.3,24.4,21.8,23,18.6,17.1,16.4,15.4,14.1,12.6,11.2,10,8.9,,,,,,
批发和零售业城镇单位就业人员(万人),,41.4,39.7,36.8,38.3,37.6,42.1,41.7,40.2,39.3,37.9,31,28.1,24.7,,,,,,
住宿和餐饮业城镇单位就业人员(万人),,14.7,14.6,13.8,14,13.5,13.5,13.8,14.7,16.3,18.1,15.6,14.9,14.3,,,,,,
金融业城镇单位就业人员(万人),,48.2,47.6,45,48.5,46.4,42.3,38,36.3,36.4,31.9,29.4,28,25.5,,,,,,
房地产业城镇单位就业人员(万人),,28.8,26.8,22.4,21.6,20.9,20.1,19.7,17.9,17.5,15.3,13.6,10.4,9.3,,,,,,
租赁和商务服务业城镇单位就业人员(万人),,37.5,35.6,29.1,30.2,29,27.9,28.4,28.8,29.2,27.7,26,24,20.4,,,,,,
科学研究和技术服务业城镇单位就业人员(万人),,19.6,18,16.6,19,18.6,16.1,16.1,16,17.5,15.5,14,10.5,9.6,,,,,,
水利、环境和公共设施管理业城镇单位就业人员(万人),,11.6,11.3,10.1,10.3,10.6,11.6,11.7,11.7,12.9,11.9,10.9,8.3,7.4,,,,,,
居民服务、修理和其他服务业城镇单位就业人员(万人),,4.2,3.7,2.4,2.6,2.3,2.5,2.6,2.2,2,1.7,1.6,1.6,1.3,,,,,,
教育业城镇单位就业人员(万人),,90.9,87.6,75.3,74.3,71.4,70.9,70.1,68.4,66.2,63.5,61.1,57.8,55.9,,,,,,
卫生和社会工作城镇单位就业人员(万人),,53.2,51.3,47.4,46,44.3,43.7,41.6,39.4,37.4,35.3,32.4,29.8,28.1,,,,,,
文化、体育和娱乐业城镇单位就业人员(万人),,7.9,8,7.1,6.7,6.8,7.4,7.2,7.2,6.7,6.6,6.2,5.9,5.2,,,,,,
公共管理、社会保障和社会组织城镇单位就业人员(万人),,82.9,76.4,73.2,71.7,70.5,70.1,67.7,65.6,63.3,59.9,57.5,56.1,52.4,,,,,,
